epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,575.641,0.38902,0.69978,0.3602,1.04174,0.99704,0.97623,0.98585,0.94298,0.99704,0.97623,0.98585,0.93561,0.39769,0.61991,0.30517,1.08186,0.000709809,0.000709809,0.000709809
31,593.186,0.38763,0.69296,0.3885,1.03894,0.99184,0.98633,0.98643,0.94003,0.98317,0.97771,0.97617,0.92054,0.35753,0.66709,0.28876,1.04586,0.000676802,0.000676802,0.000676802
32,611.228,0.37912,0.64219,0.38504,1.03603,0.98783,0.97981,0.98589,0.9357,0.98783,0.97981,0.98589,0.92248,0.37554,0.60249,0.32599,1.06163,0.000643795,0.000643795,0.000643795
33,629.173,0.39447,0.70875,0.36142,1.04387,0.99104,0.97912,0.98549,0.94397,0.99104,0.97912,0.98549,0.93154,0.4247,0.56114,0.32162,1.12545,0.000610789,0.000610789,0.000610789
34,647.03,0.39091,0.64495,0.35161,1.03312,0.99658,0.98727,0.99073,0.96011,0.99658,0.98727,0.99073,0.93815,0.37925,0.63307,0.30012,1.07286,0.000577782,0.000577782,0.000577782
35,664.861,0.3735,0.59277,0.33181,1.01485,0.98872,0.97118,0.9896,0.95601,0.98872,0.97118,0.9896,0.93778,0.40108,0.58873,0.38596,1.10402,0.000544776,0.000544776,0.000544776
36,682.984,0.37171,0.60301,0.338,1.02337,0.99031,0.9819,0.98835,0.94986,0.99031,0.9819,0.98835,0.94268,0.35143,0.51574,0.31495,1.0288,0.000511769,0.000511769,0.000511769
37,700.77,0.37118,0.5863,0.33682,1.0196,0.99662,0.97538,0.99051,0.94728,0.99662,0.97538,0.99051,0.94646,0.35114,0.49641,0.28911,1.04087,0.000478762,0.000478762,0.000478762
38,718.694,0.3711,0.68844,0.32602,1.04715,0.98759,0.97656,0.98701,0.94648,0.98759,0.97656,0.98701,0.94001,0.37175,0.46982,0.31535,1.09047,0.000445756,0.000445756,0.000445756
39,736.994,0.3424,0.49502,0.3117,1.00597,0.99828,0.98178,0.98747,0.94833,0.99828,0.98178,0.98747,0.93491,0.35411,0.47502,0.29826,1.03895,0.000412749,0.000412749,0.000412749
